"No.","Time","Source","Destination","Protocol","Length","Info"
"503","6.027802","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=34250 Ack=15506 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"504","6.027803","172.27.131.52","180.149.145.241","TLSv1.2","83","Application Data"
"505","6.028107","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=20329 Ack=9657 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"506","6.028109","172.27.131.52","180.149.145.241","TLSv1.2","90","Application Data"
"508","6.042116","172.27.131.52","180.149.145.241","TCP","54","64205  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"509","6.042218","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"511","6.042980","172.27.131.52","180.149.145.241","TCP","54","64206  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"512","6.043079","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"525","6.073440","172.27.131.52","180.149.145.241","TCP","54","64205  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"526","6.073485","172.27.131.52","180.149.145.241","TCP","54","64206  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"527","6.073574","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"528","6.073678","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"531","6.101718","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"532","6.101858","172.27.131.52","180.149.145.241","TLSv1.2","730","Application Data"
"535","6.144246","172.27.131.52","180.149.145.241","TLSv1.2","1467","Application Data"
"536","6.144534","172.27.131.52","180.149.145.241","TLSv1.2","1441","Application Data"
"540","6.211148","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"542","6.238138","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"546","6.238715","172.27.131.52","180.149.145.241","TCP","54","64206  >  443 [ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"547","6.238826","172.27.131.52","180.149.145.241","TCP","54","64206  >  443 [FIN, ACK] Seq=1276 Ack=792 Win=65792 Len=0"
"550","6.259192","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=18564 Ack=8105 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"551","6.259192","172.27.131.52","180.149.145.241","TLSv1.2","79","Application Data"
"557","6.266870","172.27.131.52","180.149.145.241","TCP","54","64205  >  443 [ACK] Seq=1276 Ack=791 Win=65792 Len=0"
"558","6.267003","172.27.131.52","180.149.145.241","TCP","54","64205  >  443 [FIN, ACK] Seq=1276 Ack=791 Win=65792 Len=0"
"560","6.280269","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=14254 Ack=6850 Win=255 Len=0"
"562","6.290721","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=35731 Ack=16163 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"563","6.290721","172.27.131.52","180.149.145.241","TLSv1.2","99","Application Data"
"566","6.313270","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=23233 Ack=10910 Win=260 Len=0"
"571","6.346194","172.27.131.52","52.114.75.78","TCP","66","64207  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"572","6.394067","172.27.131.52","180.149.145.241","TLSv1.2","1465","Application Data"
"573","6.394316","172.27.131.52","180.149.145.241","TLSv1.2","1463","Application Data"
"579","6.541449","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=15663 Ack=7451 Win=260 Len=0"
"582","6.562171","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=24644 Ack=11522 Win=258 Len=0"
"583","6.585074","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=20041 Ack=8784 Win=260 Len=0"
"584","6.589140","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=37228 Ack=16876 Win=260 Len=0"
"585","6.626895","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=37228 Ack=16876 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"586","6.626896","172.27.131.52","180.149.145.241","TLSv1.2","101","Application Data"
"587","6.627243","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=24644 Ack=11522 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"588","6.627243","172.27.131.52","180.149.145.241","TLSv1.2","97","Application Data"
"594","6.672146","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=21817 Ack=10337 Win=260 Len=0"
"595","6.710530","172.27.131.52","180.149.145.241","TLSv1.2","1457","Application Data"
"596","6.711176","172.27.131.52","180.149.145.241","TLSv1.2","1463","Application Data"
"599","6.770094","172.27.131.52","180.149.145.241","TLSv1.2","1443","Application Data"
"603","6.843405","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=26139 Ack=12229 Win=255 Len=0"
"604","6.845350","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=21450 Ack=9394 Win=258 Len=0"
"607","6.891893","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=38727 Ack=17579 Win=258 Len=0"
"608","6.900667","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=17052 Ack=8056 Win=258 Len=0"
"609","6.986009","172.27.131.52","180.149.145.241","TLSv1.2","1443","Application Data"
"610","6.986631","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=26139 Ack=12229 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"611","6.986635","172.27.131.52","180.149.145.241","TLSv1.2","95","Application Data"
"612","6.987180","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=21450 Ack=9394 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"613","6.987181","172.27.131.52","180.149.145.241","TLSv1.2","81","Application Data"
"620","7.061999","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=23220 Ack=10945 Win=258 Len=0"
"622","7.113597","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=40116 Ack=18184 Win=255 Len=0"
"623","7.135150","172.27.131.52","180.149.145.241","TLSv1.2","1446","Application Data"
"626","7.220293","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=23220 Ack=10945 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"627","7.220294","172.27.131.52","180.149.145.241","TLSv1.2","101","Application Data"
"628","7.224283","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=22929 Ack=10073 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"629","7.224285","172.27.131.52","180.149.145.241","TLSv1.2","87","Application Data"
"634","7.294447","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=41508 Ack=18779 Win=260 Len=0"
"637","7.386745","172.27.131.52","180.149.145.241","TLSv1.2","1436","Application Data"
"638","7.389215","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=27632 Ack=12950 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"639","7.389216","172.27.131.52","180.149.145.241","TLSv1.2","78","Application Data"
"641","7.410354","172.27.131.52","180.149.145.241","TLSv1.2","1365","Application Data"
"647","7.469742","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=24414 Ack=10751 Win=260 Len=0"
"649","7.518795","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=42890 Ack=19370 Win=258 Len=0"
"651","7.569225","172.27.131.52","180.149.145.241","TLSv1.2","1434","Application Data"
"652","7.569527","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=29108 Ack=13594 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"653","7.569529","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"658","7.630201","172.27.131.52","180.149.145.241","TLSv1.2","1443","Application Data"
"661","7.714243","172.27.131.52","140.206.78.5","TCP","55","63702  >  80 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"662","7.716148","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=44270 Ack=19946 Win=256 Len=0"
"665","7.758663","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=27419 Ack=12821 Win=258 Len=0"
"667","7.843305","172.27.131.52","180.149.145.241","TLSv1.2","1437","Application Data"
"669","7.877859","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=30580 Ack=14234 Win=255 Len=0"
"670","7.940445","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=30580 Ack=14234 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"671","7.940446","172.27.131.52","180.149.145.241","TLSv1.2","68","Application Data"
"672","7.940854","172.27.131.52","180.149.145.241","TLSv1.2","1449","Application Data"
"673","7.941208","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=24414 Ack=10751 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"674","7.941208","172.27.131.52","180.149.145.241","TLSv1.2","81","Application Data"
"680","7.987797","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=45653 Ack=20529 Win=260 Len=0"
"682","8.038689","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"683","8.038963","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=28814 Ack=13435 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"684","8.038964","172.27.131.52","180.149.145.241","TLSv1.2","75","Application Data"
"688","8.082512","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=17052 Ack=8056 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"689","8.082513","172.27.131.52","180.149.145.241","TLSv1.2","93","Application Data"
"693","8.176348","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=47055 Ack=21124 Win=258 Len=0"
"694","8.182506","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=47055 Ack=21124 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"695","8.182508","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"699","8.246935","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=25893 Ack=11426 Win=258 Len=0"
"701","8.293118","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=32046 Ack=14871 Win=260 Len=0"
"703","8.349098","172.27.131.52","180.149.145.241","TLSv1.2","1455","Application Data"
"704","8.356953","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=30287 Ack=14072 Win=260 Len=0"
"707","8.412702","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=18543 Ack=8742 Win=255 Len=0"
"708","8.434736","172.27.131.52","180.149.145.241","TLSv1.2","1454","Application Data"
"709","8.439546","172.27.131.52","180.149.145.241","TLSv1.2","1459","Application Data"
"715","8.498625","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"716","8.521474","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=33447 Ack=15463 Win=258 Len=0"
"720","8.565902","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=31687 Ack=14665 Win=258 Len=0"
"721","8.585163","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=27298 Ack=12023 Win=255 Len=0"
"722","8.793900","172.27.131.52","180.149.145.241","TLSv1.2","1456","Application Data"
"723","8.794151","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=31687 Ack=14665 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"724","8.794152","172.27.131.52","180.149.145.241","TLSv1.2","93","Application Data"
"725","8.794391","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=27298 Ack=12023 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"726","8.794392","172.27.131.52","180.149.145.241","TLSv1.2","86","Application Data"
"727","8.794742","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=18543 Ack=8742 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"728","8.794744","172.27.131.52","180.149.145.241","TLSv1.2","98","Application Data"
"736","8.885923","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=49943 Ack=22407 Win=260 Len=0"
"738","8.946306","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=34849 Ack=16078 Win=256 Len=0"
"741","8.992588","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=33178 Ack=15367 Win=255 Len=0"
"742","9.018021","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=28782 Ack=12706 Win=260 Len=0"
"743","9.022921","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=49943 Ack=22407 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"744","9.022922","172.27.131.52","180.149.145.241","TLSv1.2","93","Application Data"
"745","9.027803","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=34849 Ack=16078 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"746","9.027805","172.27.131.52","180.149.145.241","TLSv1.2","95","Application Data"
"751","9.112730","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"752","9.113069","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"758","9.244513","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=36342 Ack=16767 Win=260 Len=0"
"759","9.262503","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=51434 Ack=23102 Win=258 Len=0"
"760","9.274458","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=30172 Ack=13305 Win=258 Len=0"
"761","9.347385","172.27.131.52","52.114.75.78","TCP","66","[TCP Retransmission] 64207  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"762","9.358008","172.27.131.52","180.149.145.241","TLSv1.2","1447","Application Data"
"764","9.395281","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=36342 Ack=16767 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"765","9.395283","172.27.131.52","180.149.145.241","TLSv1.2","83","Application Data"
"766","9.395589","172.27.131.52","180.149.145.241","TLSv1.2","1439","Application Data"
"769","9.452117","172.27.131.52","180.149.145.241","TCP","1506","[TCP Retransmission] 64179  >  443 [PSH, ACK] Seq=36371 Ack=16767 Win=260 Len=1452"
"772","9.492995","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=52827 Ack=23702 Win=255 Len=0"
"773","9.560069","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=52827 Ack=23702 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"774","9.560069","172.27.131.52","180.149.145.241","TLSv1.2","86","Application Data"
"778","9.756451","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=54311 Ack=24358 Win=260 Len=0"
"781","9.801982","172.27.131.52","180.149.145.241","TLSv1.2","1424","Application Data"
"782","9.826389","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=31557 Ack=13898 Win=256 Len=0"
"784","9.864143","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=31557 Ack=13898 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"785","9.864145","172.27.131.52","180.149.145.241","TLSv1.2","78","Application Data"
"790","9.928849","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=55681 Ack=24943 Win=258 Len=0"
"791","9.937280","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=34562 Ack=15962 Win=260 Len=0"
"792","9.962520","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=37823 Ack=17427 Win=258 Len=0"
"793","10.016298","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=55681 Ack=24943 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"794","10.016300","172.27.131.52","180.149.145.241","TLSv1.2","69","Application Data"
"795","10.019231","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=37823 Ack=17427 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"796","10.019236","172.27.131.52","180.149.145.241","TLSv1.2","83","Application Data"
"800","10.071831","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=33033 Ack=14556 Win=260 Len=0"
"801","10.076658","172.27.131.52","180.149.145.241","TCP","1506","[TCP Retransmission] 64179  >  443 [PSH, ACK] Seq=37852 Ack=17427 Win=258 Len=1452"
"802","10.093429","172.27.131.52","180.149.145.241","TLSv1.2","1431","Application Data"
"819","10.144968","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"853","10.210465","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=39304 Ack=18087 Win=255 Len=0"
"857","10.259542","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=57148 Ack=25578 Win=256 Len=0"
"858","10.274942","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=34417 Ack=15136 Win=258 Len=0"
"859","10.297591","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"860","10.297958","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=39304 Ack=18087 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"861","10.297959","172.27.131.52","180.149.145.241","TLSv1.2","77","Application Data"
"866","10.377460","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=35939 Ack=16542 Win=258 Len=0"
"869","10.435484","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=58532 Ack=26170 Win=260 Len=0"
"870","10.443144","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"872","10.473775","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=35939 Ack=16542 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"873","10.473777","172.27.131.52","180.149.145.241","TLSv1.2","76","Application Data"
"874","10.474288","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=34417 Ack=15136 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"875","10.474289","172.27.131.52","180.149.145.241","TLSv1.2","77","Application Data"
"881","10.563207","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=40779 Ack=18722 Win=260 Len=0"
"882","10.574671","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=59922 Ack=26752 Win=258 Len=0"
"883","10.646828","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=59922 Ack=26752 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"884","10.646830","172.27.131.52","180.149.145.241","TLSv1.2","88","Application Data"
"885","10.647732","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=40779 Ack=18722 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"886","10.647736","172.27.131.52","180.149.145.241","TLSv1.2","81","Application Data"
"893","10.738830","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=35892 Ack=15787 Win=256 Len=0"
"896","10.792125","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=20039 Ack=9442 Win=260 Len=0"
"897","10.794150","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=37413 Ack=17175 Win=256 Len=0"
"898","10.879182","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=37413 Ack=17175 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"899","10.879185","172.27.131.52","180.149.145.241","TLSv1.2","95","Application Data"
"902","10.990334","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=42258 Ack=19391 Win=258 Len=0"
"904","11.059642","172.27.131.52","180.149.145.241","TCP","66","64208  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"905","11.068287","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=61408 Ack=27423 Win=256 Len=0"
"906","11.075570","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"907","11.075854","172.27.131.52","180.149.145.241","TLSv1.2","1438","Application Data"
"909","11.085338","172.27.131.52","180.149.145.241","TCP","54","64208  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"910","11.085466","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"917","11.112441","172.27.131.52","180.149.145.241","TCP","54","64208  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"918","11.112634","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"921","11.137392","172.27.131.52","180.149.145.241","TLSv1.2","736","Application Data"
"924","11.178418","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=38906 Ack=17832 Win=260 Len=0"
"926","11.180029","172.27.131.52","180.149.145.241","TLSv1.2","1435","Application Data"
"927","11.181263","172.27.131.52","180.149.145.241","TCP","66","64209  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"930","11.208244","172.27.131.52","180.149.145.241","TCP","54","64209  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"931","11.208393","172.27.131.52","180.149.145.241","TLSv1.2","571","Client Hello"
"932","11.219629","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=43642 Ack=19981 Win=255 Len=0"
"937","11.235141","172.27.131.52","180.149.145.241","TCP","54","64209  >  443 [ACK] Seq=518 Ack=138 Win=66560 Len=0"
"938","11.235702","172.27.131.52","180.149.145.241","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"940","11.260122","172.27.131.52","180.149.145.241","TLSv1.2","736","Application Data"
"942","11.280466","172.27.131.52","180.149.145.241","TLSv1.2","1446","Application Data"
"945","11.296873","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"952","11.322375","172.27.131.52","180.149.145.241","TCP","54","64208  >  443 [ACK] Seq=1282 Ack=792 Win=65792 Len=0"
"953","11.322489","172.27.131.52","180.149.145.241","TCP","54","64208  >  443 [FIN, ACK] Seq=1282 Ack=792 Win=65792 Len=0"
"956","11.365259","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=65565 Ack=29150 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"957","11.365260","172.27.131.52","180.149.145.241","TLSv1.2","71","Application Data"
"958","11.365538","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=43642 Ack=19981 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"959","11.365540","172.27.131.52","180.149.145.241","TLSv1.2","71","Application Data"
"960","11.365876","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=38906 Ack=17832 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"961","11.365876","172.27.131.52","180.149.145.241","TLSv1.2","74","Application Data"
"969","11.404396","172.27.131.52","180.149.145.241","TLSv1.2","85","Encrypted Alert"
"973","11.429292","172.27.131.52","180.149.145.241","TCP","54","64209  >  443 [ACK] Seq=1282 Ack=792 Win=65792 Len=0"
"974","11.429372","172.27.131.52","180.149.145.241","TCP","54","64209  >  443 [FIN, ACK] Seq=1282 Ack=792 Win=65792 Len=0"
"976","11.518451","172.27.131.52","180.149.145.241","TLSv1.2","1440","Application Data"
"977","11.519504","172.27.131.52","180.149.145.241","TCP","1506","64182  >  443 [ACK] Seq=20039 Ack=9442 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"978","11.519506","172.27.131.52","180.149.145.241","TLSv1.2","85","Application Data"
"984","11.595983","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=45111 Ack=20617 Win=260 Len=0"
"988","11.644744","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=67034 Ack=29786 Win=260 Len=0"
"989","11.656207","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=40378 Ack=18481 Win=258 Len=0"
"991","11.697960","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=37278 Ack=16368 Win=260 Len=0"
"994","11.753884","172.27.131.52","180.149.145.241","TLSv1.2","1444","Application Data"
"995","11.757346","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=21522 Ack=10114 Win=258 Len=0"
"998","11.882114","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=68424 Ack=30379 Win=258 Len=0"
"999","11.896940","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=68424 Ack=30379 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1000","11.896942","172.27.131.52","180.149.145.241","TLSv1.2","79","Application Data"
"1003","11.926028","172.27.131.52","180.149.145.241","TLSv1.2","1446","Application Data"
"1007","11.975856","172.27.131.52","180.149.145.241","TLSv1.2","1460","Application Data"
"1008","11.976884","172.27.131.52","180.149.145.241","TCP","1506","64181  >  443 [ACK] Seq=37278 Ack=16368 Win=260 Len=1452 [TCP segment of a reassembled PDU]"
"1009","11.976886","172.27.131.52","180.149.145.241","TLSv1.2","89","Application Data"
"1010","11.977865","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1015","12.058918","172.27.131.52","180.149.145.241","TCP","54","64179  >  443 [ACK] Seq=46503 Ack=21209 Win=258 Len=0"
"1019","12.111207","172.27.131.52","180.149.145.241","TCP","54","64180  >  443 [ACK] Seq=41784 Ack=19105 Win=255 Len=0"
"1020","12.140134","172.27.131.52","180.149.145.241","TCP","54","64177  >  443 [ACK] Seq=69901 Ack=31031 Win=256 Len=0"
"1021","12.144185","172.27.131.52","180.149.145.241","TCP","54","64182  >  443 [ACK] Seq=22932 Ack=10723 Win=255 Len=0"
"1023","12.253947","172.27.131.52","180.149.145.241","TCP","1506","64177  >  443 [ACK] Seq=69901 Ack=31031 Win=256 Len=1452 [TCP segment of a reassembled PDU]"
"1024","12.253947","172.27.131.52","180.149.145.241","TLSv1.2","85","Application Data"
"1025","12.256289","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=38765 Ack=17032 Win=258 Len=0"
"1026","12.258478","172.27.131.52","180.149.145.241","TCP","1506","64179  >  443 [ACK] Seq=46503 Ack=21209 Win=258 Len=1452 [TCP segment of a reassembled PDU]"
"1027","12.258480","172.27.131.52","180.149.145.241","TLSv1.2","99","Application Data"
"1028","12.258962","172.27.131.52","180.149.145.241","TCP","1506","64180  >  443 [ACK] Seq=41784 Ack=19105 Win=255 Len=1452 [TCP segment of a reassembled PDU]"
"1029","12.258964","172.27.131.52","180.149.145.241","TLSv1.2","103","Application Data"
"1036","12.317195","172.27.131.52","180.149.145.241","TLSv1.2","1464","Application Data"
"1040","12.363901","172.27.131.52","180.149.145.241","TLSv1.2","1467","Application Data"
"1045","12.455964","172.27.131.52","180.149.145.241","TCP","54","64181  >  443 [ACK] Seq=40175 Ack=17642 Win=255 Len=0"
